City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
78,Tiksi,RU,71.6872,128.8694,34.52,92,62,3.38,broken clouds
79,Lakes Entrance,AU,-37.8811,147.981,39.16,75,85,8.34,overcast clouds
80,Severo-Kurilsk,RU,50.6789,156.125,51.85,79,100,10.74,overcast clouds
81,Bredasdorp,ZA,-34.5322,20.0403,57.58,66,1,5.7,clear sky
82,Tuktoyaktuk,CA,69.4541,-133.0374,55.4,88,20,4.61,few clouds
83,Gamba,GA,-2.65,10.0,75.16,71,81,11.63,broken clouds
84,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,54.37,95,100,0.85,light rain
85,Ribeira Grande,PT,38.5167,-28.7,72.0,64,75,12.66,broken clouds
86,Lorengau,PG,-2.0226,147.2712,81.84,79,53,8.75,broken clouds
87,Zlotow,PL,53.3635,17.0408,63.01,64,77,12.91,broken clouds
88,Esperance,AU,-33.8667,121.9,53.44,88,100,13.47,light rain
89,Madimba,TZ,-10.4,40.3333,75.94,70,21,13.24,few clouds
90,Norman Wells,CA,65.282,-126.8329,74.41,38,6,4.41,clear sky
91,Bin Qirdan,TN,33.1378,11.2197,96.57,25,0,12.39,clear sky
92,Merrill,US,45.1805,-89.6835,69.57,78,100,5.75,overcast clouds
93,Touros,BR,-5.1989,-35.4608,83.59,64,19,17.83,few clouds
94,Kaduy,RU,59.2,37.15,75.27,44,85,4.23,overcast clouds
95,Gizo,SB,-8.103,156.8419,81.57,78,100,9.28,overcast clouds
96,Avarua,CK,-21.2078,-159.775,69.85,64,75,4.61,broken clouds
97,Bengkulu,ID,-3.8004,102.2655,79.65,86,100,6.22,overcast clouds
98,Thompson,CA,55.7435,-97.8558,66.6,33,100,6.17,overcast clouds
99,Salta,AR,-24.7859,-65.4117,66.43,48,12,3.78,few clouds
100,Ouahigouya,BF,13.5828,-2.4216,97.93,29,37,6.02,scattered clouds
101,Grand Gaube,MU,-20.0064,57.6608,68.38,67,50,3.0,scattered clouds
102,Bambous Virieux,MU,-20.3428,57.7575,70.05,60,75,11.5,broken clouds
103,Sar-E Pul,AF,35.8333,66.1667,69.4,32,0,4.27,clear sky
104,Geraldton,AU,-28.7667,114.6,52.21,93,5,3.44,clear sky
105,Airai,TL,-8.9266,125.4092,52.48,90,44,1.77,scattered clouds
106,Honggang,CN,46.4667,124.8667,71.65,91,100,12.84,moderate rain
107,Zhigansk,RU,66.7697,123.3711,55.76,64,75,9.51,broken clouds
108,Mangan,IN,27.5167,88.5333,78.58,89,69,2.13,broken clouds
109,Bonthe,SL,7.5264,-12.505,82.11,70,77,10.0,broken clouds
110,Mudanjiang,CN,44.5833,129.6,68.22,91,98,3.49,overcast clouds
111,Korla,CN,41.7597,86.1469,85.05,16,18,11.65,few clouds
112,Umm Lajj,SA,25.0213,37.2685,91.8,41,2,11.99,clear sky
113,Lebu,CL,-37.6167,-73.65,48.27,72,100,16.06,overcast clouds
114,Mount Isa,AU,-20.7333,139.5,42.57,87,4,3.44,clear sky
115,Kattivakkam,IN,13.2167,80.3167,82.49,91,100,13.51,moderate rain
116,Parana,AR,-31.732,-60.5238,56.46,97,100,6.91,mist
117,Georgetown,MY,5.4112,100.3354,84.88,78,20,5.99,few clouds
118,Porto Novo,BJ,6.4965,2.6036,83.46,67,53,8.88,broken clouds
119,Butaritari,KI,3.0707,172.7902,82.27,75,100,22.86,light rain
120,Faanui,PF,-16.4833,-151.75,78.53,70,11,11.07,few clouds
121,Belmonte,BR,-15.8631,-38.8828,78.73,58,4,8.63,clear sky
122,Saint George,US,37.1041,-113.5841,84.43,23,0,10.36,clear sky
123,Srandakan,ID,-7.9386,110.2506,77.4,86,100,7.31,overcast clouds
124,Nanortalik,GL,60.1432,-45.2371,44.92,86,96,6.6,overcast clouds
125,Peleduy,RU,59.6289,112.7406,56.95,88,100,0.69,overcast clouds
126,Omboue,GA,-1.5746,9.2618,75.94,71,77,11.18,broken clouds
127,Hilo,US,19.7297,-155.09,71.26,97,83,1.99,broken clouds
128,Sambava,MG,-14.2667,50.1667,73.18,75,37,16.96,scattered clouds
129,Kavaratti,IN,10.5669,72.642,81.77,83,99,17.16,overcast clouds
130,Saint Anthony,US,45.0205,-93.218,74.14,81,100,9.22,overcast clouds
131,Rudbar,AF,30.15,62.6,102.11,13,37,2.44,scattered clouds
132,Kadyy,RU,57.787,43.1903,75.11,68,98,3.36,overcast clouds
133,Saint-Pierre,RE,-21.3393,55.4781,69.91,69,20,14.97,few clouds
134,Broome,US,42.2506,-75.833,74.62,73,75,6.91,broken clouds
135,Marawi,PH,7.9986,124.2928,70.32,92,100,2.64,overcast clouds
136,Morgan City,US,29.6994,-91.2068,87.03,74,20,2.48,few clouds
137,Yeppoon,AU,-23.1333,150.7333,47.98,76,0,5.55,clear sky
138,Carballo,ES,43.213,-8.691,81.75,63,0,15.39,clear sky
139,Huron,US,41.1501,-82.5499,73.78,94,95,10.36,light rain
140,Finnsnes,NO,69.2296,17.9811,56.75,77,100,12.3,light rain
141,Bratsk,RU,56.1325,101.6142,64.89,67,58,2.57,broken clouds
142,Hermanus,ZA,-34.4187,19.2345,60.8,66,4,6.22,clear sky
143,Hofn,IS,64.2539,-15.2082,55.42,76,40,10.36,scattered clouds
