City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
34,Meulaboh,ID,79.21,scattered clouds,4.1363,96.1285,Kost Pria
36,Kalat,PK,70.03,moderate rain,29.0225,66.5916,PHE Rest House
37,Jamestown,US,73.53,overcast clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
39,Chapais,CA,62.02,clear sky,49.7834,-74.8492,Hôtel Opémiska
40,Cape Town,ZA,62.11,few clouds,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
41,Sao Joao Da Barra,BR,82.49,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
43,Kapaa,US,72.12,overcast clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
44,Nemuro,JP,53.91,overcast clouds,43.3236,145.575,Hotel Nemuro Kaiyoutei
47,Udachnyy,RU,58.68,overcast clouds,66.4167,112.4,Severnoye Siyaniye
48,Huarmey,PE,65.89,scattered clouds,-10.0681,-78.1522,Hotel Miramar
49,Yellowknife,CA,66.72,smoke,62.456,-114.3525,The Explorer Hotel
50,Labuhan,ID,78.48,overcast clouds,-6.8844,112.2051,DoubleFAG
51,Presidencia Roque Saenz Pena,AR,77.32,overcast clouds,-26.7852,-60.4388,Hotel Gualok
52,Saskylakh,RU,54.3,overcast clouds,71.9167,114.0833,
53,Albany,US,77.29,overcast clouds,42.6001,-73.9662,
